,text,label
2498,How to map old paths to Drupal paths,17
2499,Multi-threaded BASH programming - generalized method?,10
2500,What are your motivations for developing Software for Mac OSX?,9
2501,Bulding a LINQ query programatically without local variables tricking me,18
2502,Send An Action Cocoa - IBAction,8
2503,JavaScript problem?,15
2504,Use bash to read a file and then execute a command from the words extracted,10
2505,Multiple select Listbox in Excel for an import sheet,5
2506,Why scala's TreeSet returns SortedSet,13
2507,how do i make sure my bash script isn't already running?,10
2508,Ajax file upload,15
2509,Splitting applicationContext to multiple files,11
2510,Magento - Checkout not redirecting to success page,20
2511,left side menu in magento modern theme,20
2512,How to extract a meta tag from XML/HTML using Linq?,18
2513,Why aliases in a non-interactive Bash shell do not work,10
2514,Possible to override site creation in Sharepoint?,14
2515,Error while loading FastCGI module in apache 2.2,4
2516,Hibernate: ID generator using increment and Oracle Schema,12
2517,Iterating through struct fieldnames in MATLAB.,6
2518,Bash Case menu - dynamic choices,10
2519,Calculating the Difference Between Two Java Date Instances,13
2520,asp.net mvc add column to the database - how do i update the dbml file,18
2521,Specifying the filename of print using a variable,6
2522,Spring bean with no id or name,11
2523,loaded image Qsize,16
2524,How to generate a unit vector pointing in a random direction with isotropic distribution of direction?,6
2525,Apache Mod_Rewrite query string to standard url,4
2526,Linq + Invalid expression term '>',18
2527,insert in the head tag after wp_head,1
2528,Is There an Easy Way to Convert a Boolean to an Integer?,13
2529,How to user Hibernate @Valid constraint with Spring 3.x?,11
2530,Passing parameter to hbm2ddl,12
2531,Magento - How to display ALL PRODUCTS in the homepage?,20
2532,Call Scala code from Java?,13
2533,QT: problem with creation of C++ library,16
2534,Bash and Test-Driven Development,10
2535,How can I make sure that FirstOrDefault<KeyValuePair> has returned a value,18
2536,Is it possible to checkout files from subversion without those .svn folders?,3
2537,memory management problem in mexFunction,6
2538,How do I get attribute set name ?,20
2539,How can an app tell if it's running on a hackintosh?,9
2540,How to register new schema in cocoa/objective-c?,8
2541,Bash: find and copy,10
2542,Haskell: How do I define the types my function can take as parameters? AND how do I access unnamed variables in a data structure?,19
2543,Why do processes spawned by cron end up defunct?,10
2544,is there a way to eject all external hard drives from the command line? (OS X),9
2545,foldl versus foldr behavior with infinite lists,19
2546,Finging the upper left corner in a Quartz plugin,9
2547,escape characters in string in matlab,6
2548,How do you prevent printing dialog when using Excel PrintOut method,5
2549,Drupal: cck taxonomy field with depth filtering,17
2550,Setting up a one-time installer using Apple's PackageMaker,9
2551,Why would my ASP.NET project run on the development server when not among the startup projects?,7
2552,Magento Email Template Help,20
2553,Bash || within if []; block,10
2554,Programmatically instantiate a web part page in Sharepoint,14
2555,how do you extract a header from a private framework on OSX?,9
2556,Generic htaccess redirect www to non-www,4
2557,sorting colors in matlab,6
2558,Drupal theming a row in a view's display,17
2559,Excel 2007 - selecting multiple non-contiguous cells within one column.,5
2560,How do you create inputs for custom options in the Magento admin,20
2561,jquery validate & ajax.beginform,15
2562,linq help - newbie,18
2563,Regex match a string with spaces (use quotes?) in an if statement,10
2564,Fully parenthesizer for Haskell,19
2565,Visual Studio and MySQL,7
2566,Wordpress Category ID vs Eval Issue,1
2567,Failing to ignore svn-controlled directory when doing svn update,3
2568,Magento SSL links,20
2569,Excel formula - auto sum for the same types,5
2570,Why does SO display SV version and what are the advantages?,3
2571,SharePoint: How to determine a site's site directory,14
2572,Escaping 'echo' in batch files,10
2573,Ajax instant messaging (web-based),15
2574,Does anyone have experience with National Instruments CVI and source control?,3
2575,Controlling new features in Spring/Apache tomcat,11
2576,Excel formula to determine cell ID when a series of numbers turns negative,5
2577,Can this be done using excel macos?,5
2578,Finding if two numbers have the same digit and then remove them from in the original number in Haskell,19
2579,Sharepoint stripping HTTP Headers,14
2580,How can I display an error message in matlab?,6
2581,Core Data: Strange bindings error on re-opening a document. Help?,8
2582,Magento development,20
2583,Same Ajax is not working in IE  more than one time,15
2584,How to allow Users to request access to a particular document in SharePoint?,14
2585,How to deal with a flaw in System.Data.DataTableExtensions.CopyToDataTable(),18
2586,Writing Java code in Matlab?,6
2587,How can I configure Apache to map  /talk.html?id=77 to the file that is called talk.html?id=77  ?,4
2588,"Visual Studio 2008 ""randomly"" hangs on test run",7
2589,REST Service exposed on WCF not populating parameter values,15
2590,Excel OpenText method,5
2591,Making an NSButton In-Active.,8
2592,Getting Items on the Local Clipboard from a Remote SSH Session,9
2593,Do you use any of the features in the various Visual Studio 2008 Team editions?,7
2594,Does Apache basic authentication defend brute force attacks?,4
2595,Why does the extract method command in visual studio create static methods?,7
2596,How to update a web page without reloading the web page using AJAX?,15
2597,Why do you hate sequences on Oracle?,2
2598,GNU make --jobs option in QMAKE,16
2599,Problem adding item to sortable list,15
2600,Spring: PropertyPlaceHolderConfigurer to set values for complex properties,11
2601,What is CHUD Remover? (Came with Xcode on OS X),9
2602,how to check Excel Server is present or not?,5
2603,Dynamically building a command in bash,10
2604,Handling and syncing own custom version of an open source library with SVN,3
2605,Why i get this following error when using dir in Matlab?,6
2606,SVN analysis tool,3
2607,Extending spring's default component factory,11
2608,What class should I inherit to create a database integration test in case of Spring?,11
2609,Core Animation View Intermittently Not Appearing,8
2610,Unable to enable jquery UI module in drupal??,17
2611,Assign different products to different stores and display products per store in backend,20
2612,How  do I resize QTableView so that the area is not scrolled anymore,16
2613,Using mod_rewrite to redirect 70+ URLs with variables,4
2614,merging and manupulating files in matlab,6
2615,Using SVN in Windows (Wordpress plugin-repository)?,1
2616,"How to apply two functions onto the same string without using "">>""",19
2617,Retrieve emebedded or component using Hibernate Criteria api,12
2618,Sharepoint 2007 document management,14
2619,how to manage a custom user object in session when spring security autheticates user.,11
2620,Cocoa: What NSTextView the insertion point is currently blinking in?,8
2621,"Global variable in Qt, how to?",16
2622,SharePoint survey question ordering,14
2623,Is there a way to change a SVN users username through the entire repository history?,3
2624,Sharepoint - Fields appears twice on View / New Item,14
2625,Add HTML markup to $wpdb results in Wordpress,1
2626,Drop-down list in Excel cell,5
2627,Matlab symbolic toolbox: What's wrong with my code?,6
2628,"Hibernate is calling public methods on the entities after a query, why?",12
2629,What is LINQ to events a.k.a RX Framework?,18
2630,How do I go from 1.4795e+004 to 14795.00 ??,6
2631,Single DispatcherServlet with Multiple Controllers,11
2632,How to connect a Windows client to an OSX Server with AFP,9
2633,The cost of nested methods,13
2634,Ajax authentication without letting browser pop up login dialog,15
2635,desktopdock or stardoc in Qt,16
2636,Unable to deploy new SharePoint site template version,14
2637,Advanced directory switching in bash,10
2638,Where is Visual Studio COM project template?,7
2639,Which CodePlex/Google code project to study in order by learn SharePoint best practices,14
2640,spring ibatis mysql transactions,11
2641,Cannot get FeatureSpec structure to show up in the output when combined with JUnitSuite,13
2642,Why don't code snippets work for me in Visual Studio?,7
2643,Apache rewrite condition and the absence of characters,4
2644,Retrieving the First Non-Option Command Line Argument,10
2645,Hibernate: comparing current & previous record,12
2646,Is it possible to use Cocoa's Bindings to have an editable NSTableView hooked up to an NSMutableArray?,8
2647,C# and Excel files,5
2648,Unique random number sequence using qrand() and qsrand(),16
2649,OSX Security Framework NameAndPassword sample application,9
2650,Is it possible to compile ImageMagick with custom libxml2 on the Mac,9
2651,Building a VS2010 project consumes extra resources,7
2652,How can I configure Apache and LDAP to allow a second authentication attempt?,4
2653,Garbage Collection Crash using NSImage,8
2654,Understanding Haskell accessor functions,19
2655,How to limit a LINQ left outer join to one row,18
2656,Embed webserver in carbon bundle,9
2657,Hibernate map collection with constant key,12
2658,Tortoise SVN Move command fails,3
2659,paste to codepad.org using bash or curl,10
2660,Entity Framework - dynamic sql,18
2661,How to properly instantiate classes in Haskell?,19
2662,Longer Form Fields in Drupal,17
2663,"What the meaning of colon, underscore and star in lift's Sitemap(entries:_*) ?",13
2664,NSMutableArray add Object as pointer only?,8
2665,Hibernate collection handling  basics,12
2666,Qt portable IPC: only QSharedMemory?,16
2667,linq case statement,18
2668,Spring - Redirect after POST (even with validation errors),11
2669,Why I cannot use my apache server?,4
2670,How to get a unique WindowRef in a dockable Qt application on Mac,16
2671,Locating bundles by identifier,8
2672,How to configure Apache httpd.conf run with strawberry perl?(perl script run with browser),4
2673,How to define hash tables in bash?,10
2674,importing c++ data types to haskell with ffi,19
2675,64-bit Qt and Postgres in Windows,16
2676,How can I improve the edit-compile-test loop when developing a SharePoint workflow?,14
2677,Programmatic mail-merge style data injection into existing Excel spreadsheets?,5
2678,How is compare different from compareTo in this Scala code?,13
2679,Hibernate mapping error,12
2680,"bring the application from in focus, by clicking the icon of corresponding application",16
2681,how do i check for errors in spring - security ?,11
2682,Spring user transaction with hibernate,12
2683,How can I control the empty cart text in Drupal Ubercart,17
2684,Sorting objects based on Double values?,13
2685,Apache name based virtual hosting,4
2686,How do I make Ajax calls at intervals without overlap?,15
2687,Missing/disappearing Drupal tabs,17
2688,Modern Java alternatives,13
2689,"Linq version of SQL ""IN"" statement",18
2690,Solving for variables in an over-parameterised system,6
2691,Best way to organize MATLAB classes?,6
2692,How to stop a web site from listing contents of user directory,4
2693,How do I access Matlab structure fields within a loop?,6
2694,Spring: I wish to create a junit test for a web application - WebApplicationContext needed,11
2695,How to show ajax loading gif animation while the page is loading?,15
2696,ASP.net Modal Pop up extender and DropDownlist autopostback,15
2697,Wordpress Event list,1
2698,Spring - Rewrite one URL to another,11
2699,How to delete files in Visual Studio Pre-build event command line,7
2700,Match multiple cases classes in scala,13
2701,Scala profiler?,13
2702,Append text to stderr redirects in bash,10
2703,"LINQ: IEnumerable<KeyValuePair<SomeType, IEnumerable<OtherType>>>  selection",18
2704,How does OrderBy in LINQ works (behind the scenes)?,18
2705,"What is a proper way to manage a flexible, typed, immutable data structures in Scala?",13
2706,CAML cannot reference Custom Properties in custom fields.,14
2707,Duplicate Oracle DES encrypting in Java,2
2708,Cocoa: Measure time between keypresses?,8
2709,Java Swing or Java Qt?,16
2710,What is the difference between Explicit and inplicit cursors in Oracle?,2
2711,Excel: What's the best way to get the value of a Relative Row but from a Fixed Column?,5
2712,"QCalendarWidget as ""Pop-up"", not as new Widget?",16
2713,Can NSAlert Be Used to Create a Floating Window?,8
2714,"I'm using spring, hibernate and mysql. How can I let my app create the table automatically.",11
2715,"What does ""trait A <: B"" mean?",13
2716,Hibernate Session is closed,12
2717,Can I build a real state addvertising website using drupal?,17
2718,How to interpret scaladoc?,13
2719,Tips for running Subversion in a Windows world,3
2720,How to get the range of occupied cells in excel sheet,5
2721,Spring - Best approach to provide specific error messages in a validator from a DAO?,11
2722,gdbinit conflict with Xcode debugging,9
2723,Making an NSAlert be displayed when the User attempts to delete a row from an NSOutlineView when it has children.,8
2724,Resources to learn MacOSX development from Linux/Windows development point of view,9
2725,Equivalent of python eval in Haskell,19
2726,Logging all cocoa events?,8
2727,"Understanding the type error: ""expected signature Int*Int->Int but got Int*Int->Int""",19
2728,Spring Properties File,11
2729,apache rewrite htaccess,4
2730,How can I know if the user is in Exposé mode?,9
2731,Sharepoint document library source,14
2732,Must Have SharePoint dev tools,14
2733,".ajax will not POST, but will GET with on problem",15
2734,How much disk space should I reserve for my Subversion repository?,3
2735,"htaccess Redirect to same file, but display different URL without having to change internal links?",4
2736,Fewer connections in a Qt calculator,16
2737,Change Sound (or other) System Preferences in Mac OS X,9
2738,Linq SubmitChanges not updating decimal fields ... why?,18
2739,Python MySQL installing wrongly on Mac OS X 10.6 i386,9
2740,Adjusting Wordpress Function to display Parent Category,1
2741,"How do I do ""svn st"" in AnkhSVN for Visual Studio? -no text-",3
2742,Is there a helper to know whether a property has been loaded by Hibernate ?,12
2743,What happens to my app when my Mac goes to sleep?,9
2744,Is there any way to avoid installing Microsoft Visual Studio 2008 Team System Database Edition to be able to build DBPro projects on a centralized build server?,7
2745,XSD Client in Spring,11
2746,SharePoint Infrastructure Upgrade - whoops,14
2747,Drupal image upload issues,17
2748,"first level hibernate cache , modify record directly at DB",12
2749,Haskell: Overlapping instances,19
2750,Capturing multiple line output to a bash variable,10
2751,SVN Problem,3
2752,How to print faster in Excel VBA?,5
2753,SharePoint 2007 - How To Change Attachment Paperclip Image,14
2754,Release management in SVN,3
2755,Content replacement from external website,15
2756,"Add app to the ""Startup Items""",8
2757,What does the >> symbol mean in Haskell.,19
2758,Get current playing song using Cocoa,8
2759,Magento CMS pages - getting title from URL key?,20
2760,MATLAB: maximum pre-allocated size?,6
2761,SQL: Counting number of occurances over multiple columns in Oracle,2
2762,Drupal - Redirect success message to shadowbox,17
2763,Haskell: Problems with overloading: Interpreter can´t tell which + to use,19
2764,SVN: set properties on directories only,3
2765,Returning multiple streams from LINQ query.,18
2766,Writing a sample server app - is forkIO unavoidable?,19
2767,Persisting using hibernate/JPA,12
2768,How to exit all the calling scripts in bash?,10
2769,Best practices for returning and displaying data from AJAX calls.,15
2770,Using NSTask: app freezing after returning output,8
2771,Hardcoded QMAKESPEC in Qt Creator?,16
2772,how to set shipping cost per product,20
2773,Compatibility of Comet with current technology,15
2774,scala Slider throws casting exception,13
2775,Can you configure a single folder in a WordPress install that will allow directory list contents,1
2776,Hibernate Inheritance Mapping and Attribute Override,12
2777,Implementing unsafe Java interfaces,13
2778,Tool in Visual Studio 2008 for helping with Localization,7
2779,Best way to eliminate all intermediate files from Visual Studio project folders?,7
2780,Library for parsing Visual Studio Solution files?,7
2781,"Display a menu with categories, sub-categories and products - Magento",20
2782,Query Mac OS X Spotligth from Java,9
2783,Drupal newbie question,17
2784,Neural network XOR backpropagation info needed.,6
2785,How to serch by categories uisng trip_search,17
2786,Bash alias query,10
2787,"How to capture the ""Print"" button from the menu bar in a macro",5
2788,Any solution to the Today Calculated Column problem is SharePoint?,14
2789,"Scala, repeat a finite list infinitely",13
2790,Programmatic positioning of VBA charts has stopped working,5
2791,Creating an admin url for Magento that is admin.magentostore.com (not /admin),20
2792,How do you move visual studio DataTip window,7
2793,Why is hibernate open session in view considered a bad practice?,12
2794,"Subversion Auth: Can't access the ""Collection of Repositories"" page anymore",3
2795,Equivalent of select or poll in bash,10
2796,Execute jQuery function on expanding fieldset in Drupal,17
2797,Converting OOo macros to Excel macros,5
2798,Magento Custom Module database query,20
2799,Restrict access using SSL certs,4
2800,Microsft Enterprise Search - FAST,14
2801,How do I add an Microsoft AJAX auto complete textbox to an existing ASP.NET 3.5 SP1 web application project?,15
2802,Error in hibernate constraint,12
2803,"Handling wild card subdomains with Apache, excluding www, including SEF",4
2804,Oracle Default Values,2
2805,not able to delete,12
2806,How can I make comments like on stackoverflow?,15
2807,mac look n feel on other platforms?,16
2808,"Scala: How to define ""generic"" function parameters?",13
2809,Is there a way to have all radion buttons be unchecked,16
2810,Which IDE for Scala 2.8?,13
2811,how to implement lazy loading in hibernate,12
2812,How to tackle Scala source incompatibilities in 2.8.0?,13
2813,"Qt ""connect"" syntax is very long. Is it any tricks to make it shorter?",16
2814,Why doesn't this type declaration work?,19
2815,hibernate versioning issuing update statment for no reason,12
2816,Building up a LINQ query based on bools,18
2817,Is there a spring lazy proxy factory in Spring?,11
2818,SharePoint Web Service Credentials,14
2819,SharePoint custom context menu in custom list appears on folders and not just files,14
2820,How to stop NSScrollView from scrolling to top when horizontally resizing contained NSTextView?,9
2821,How to set programmatically two different Excel formulas for every other,5
2822,how do i change hibernate logging level,12
2823,How to create Linked texbox in worksheet?,5
2824,Binding type variables that only occur in assertions,19
2825,QT4: Transparent Window with rounded corners,16
2826,Blank process name for OSX Cocoa application?,9
2827,Drupal 5 Search not working on 404 pages.,17
2828,LINQ to DATASET update with a stored procedure,18
2829,How do I write a custom start page for VS 2008?,7
2830,Convert content from excel cells from string duration to number of minutes,5
2831,Oracle considers empty strings to be NULL while SQL Server does not - How is this best handled?,2
2832,"Magento local.xml layout file - overriding <remove name=""left""/>",20
2833,get ResultSet from Spring-JDBC,11
2834,wordpress get_categories() issue,1
2835,What are patches used for in SVN?,3
2836,Reducted funtionality using FBA in sharepoint,14
2837,URL Rewrite blanket redirect with directory exceptions,4
2838,Hibernate: lazy-loading doesn't work on one-to-many mapping on set,12
2839,Is there a graceful way to stop svnserve -d,3
2840,What's the best php / mysql emulator,4
2841,Focus-follows-mouse (plus auto-raise) in Mac OSX.,9
2842,How do I add additional languages to the sla.r I use with my .dmg?,9
2843,Page Redirect in SharePoint,14
2844,Hibernate Exception,12
2845,"Sharepoint features, custom aspx pages at various site levels",14
2846,"Bash Scripting: I want to open a set of .php files, and add line before html tag",10
2847,Inserts are 4x slower if table has lots of record (400K) vs. if it's empty,2
2848,How to change tinyMCE editor's button's default tag output in wordpress?,1
2849,Using xsl:include with AJAX/XSLT,15
2850,Using DOS file contents as command line arguments in BASH...,10
2851,What is context in Haskell multiparameter type class,19
2852,Search Box in QToolbar,16
2853,"What's the state of play with ""Visual Inheritance""",7
2854,drupal 6 can we write a php file in drupal which changes the headers,17
2855,SharePoint Table of Contents Web Part and export/import,14
2856,How to call Matlab functions from linux command line ?,6
2857,Automatic casting in Scala,13
2858,Creating a custom content type in drupal,17
2859,Convert Excel 95 to Excel97+ without automation?,5
2860,What is Stream Fusion,19
2861,Running a macro in excel,5
2862,"Did you try Doloto ""AJAX application optimization tool"" ? have any comments/concerns about?",15
2863,wordpress plugin to upload file directly to amazon s3,1
2864,ASP.Net AJAX - Any end-to-end examples of writing a WebControl?,15
2865,Hibernate Criteria: Eagerly load ManyToMany collection,12
2866,Pull data from WordPress,1
2867,PHP function not working as expected,1
2868,Which tree-based dictionary is the easiest to implement functionally?,19
2869,Accessing Oracle Database from C#,2
2870,Hibernate Tool for Weblogic 9.2.1,12
2871,Porting threads from QT3 to QT4,16
2872,Haskell Write Computation result to file,19
2873,Is it possible to configure a Spring session scoped bean with attributes from the session?,11
2874,How to display CSS backgroundImage when the source redirects?,15
2875,"Is Haskell, truly pure (is any language that deals with input and output outside the system)?",19
2876,First column of a matrix given as a list of rows in Haskell,19
2877,Reading a text file in MATLAB line by line,6
2878,How to get Visual Studio's designer to render CSS correctly in an ASP.NET Web User Control?,7
2879,NSZombies are eating my app's brain!,8
2880,Cannot create a controller in Magento,20
2881,"In Scala, how do you define a local parameter in the primary constructor of a derived class?",13
2882,Is this slash character in an Oracle PL/SQL script an error?,2
2883,How to reduce linkage time for large project written in native Visual C++ ?,7
2884,Why does my QT4.5 app open a console window under Windows?,16
2885,"Python+Qt, QScrollArea problem: what's wrong with this code?",16
2886,Is there a good reason to configure hibernate with XML rather than via annotations?,12
2887,LINQ Anonymous Types + MVC Views Help,18
2888,Getting All categories in external page.,20
2889,Oracle Resource Manager Plan Design,2
2890,Upload files to Sharepoint document libraries via FTP,14
2891,Adding more information onto the $user object in drupal?,17
2892,Mod rewrite / clean urls problem,17
2893,How to rearrange this function to return the extended list in Haskell,19
2894,How to validate an XML file against a schema using Visual Studio 2005,7
2895,Recovering from a slightly out of date subversion repository backup,3
2896,Slow to start after upgraded to Spring 3,11
2897,any way to check in a file or add a file to SVN repository without a SVN client?,3
2898,The Microsoft.VisualStudio.Data.Interop.IVsDataProviderManager service could not be found.,18
2899,Linq Query with SUM and ORDER BY,18
2900,Submit WordPress form programmatically,1
2901,Sharepoint selectors in Central Administration don't work in IE 6 on the server VM (MOSS 2007),14
2902,Returning Oracle ref cursor and appending multiple results,2
2903,sort categories according to date when its added,20
2904,Getting Mac OS X version without using Carbon,9
2905,Where is the Content Source Name in the SSP Search Database,14
2906,Running subversion under apache,3
2907,How to replace gif logo with flash logo in magento?,20
2908,How to make Apache/mod_python process to collect its zombies?,4
2909,how to evaluate a given path within a bash shell,10
2910,CVS to SVN conversion -- How to replace CVS TAGS functionalities,3
2911,Adding Sort Keys and Filter to Oracle Stored Procedure,2
2912,"F# VS Haskell, Which is better for general purpose programming?",19
2913,Using Spring AOP in an JSF application,11
2914,Can I inject an interface subtype in Spring?,11
2915,Hidden features of Haskell,19
2916,How do I ensure that I am dynamically linking my application to the Qt framework in Qt Creator?,16
2917,Haskell: Gluing a char and a list together?,19
2918,Spring ApplicationContext Bean Scope,11
2919,UI's in Sharepoint,14
2920,hibernate Lazy loading,12
2921,Bulk Row Transfer between Oracle Databases with a Select Filter,2
2922,Attaching VisualSVN Server to an existing repository,3
2923,What's the Scala syntax for a function taking any subtype of Ordered[A]?,13
2924,How to clear PHP $_SESSION by apache?,4
2925,wordpress shortcode problem,1
2926,host/role dependent spring configuration,11
2927,Scala and the Java Memory Model,13
2928,"How can svn co give a ""directory already exists error""?",3
2929,is it possible to make order via phone or using IVR in magento?,20
2930,What is the Visual Studio 08 C# Assembly Information GUID setting for?,7
2931,Filtering by category in Magento 1.4,20
2932,"Drupal views - how to remove string pattern using ""Rewrite the output of this field""?",17
2933,Using Different Hibernate User Types in Different Situations,12
2934,"MS Excel 2003 VBA - Is there a way to define a group of shapes/object into a ""group""",5
2935,Wordpresss- Custom Table Loop- not quite right,1
2936,Does LINQ use DataRelations to optimize joins?,18
2937,absolute values in Haskell,19
2938,Drupal + Location Module: How to query blog entry locations,17
2939,Installing debug version of Qt on Mac OSX,16
2940,Drupal: accordion inside node,17
2941,What is the best way to implement syntax highlighting of source code in Cocoa?,8
2942,using bash to fix maildir mtimes problem,10
2943,How does Linq work (behind the scenes)?,18
2944,Is there any way to declare final fields for Hibernate-managed objects?,12
2945,Substitute values in a string with placeholders in Scala,13
2946,Can liftM differ from liftA?,19
2947,Use Scala to unit test Java?,13
2948,Apache logs -- what is difference between %a and %h?,4
2949,devide two polinomials by using matlab,6
2950,How do I sort a file in place using bash shell?,10
2951,"Copy-paste code from Visual Studio, but paste UNFORMATTED code",7
2952,"Qt's moc causing ""undefined reference to:"" error",16
2953,Visual Studio 2008 Help slow to load... How come?,7
2954,Team is Going from XP32 to XP64 for .NET Development - Any Gotchas?,7
2955,Guess encoding when creating an NSString from NSData,8
2956,What's the best way to validate a user-entered URL in a Cocoa application?,8
2957,Excel Interop Formatting Issues,5
2958,A script to ssh into a remote folder and check all files?,10
2959,API/Framework to generate Visual Studio solutions/projects,7
2960,Wordpress how to prevent category and archive crawl and index,1
2961,How can I redirect all traffic from one domain to another with an .htaccess file?,4
2962,"matching a line with a literal asterisk ""*"" in grep",10
2963,How do I improve Windows Subversion client update performance?,3
2964,"Spring Security OpenID - Unable to Process claimed identity ""null""",11
2965,Can't connect to SVN repository,3
2966,Identifiers in a one to many relationship,2
2967,How to send a SIGINT to Python from a bash script?,10
2968,Customizing Spring concurrent-session-control configuration,11
2969,How to move documents and list items in Windows SharePoint Services?,14
2970,"Linq to SQL vs Entity Framework, Microsoft support for",18
2971,How do you count the words in an array of strings with LINQ?,18
2972,Advice on setting up a server to host source code and other documents...,3
2973,Subversion plugin to Visual Studio?,3
2974,Creating a login based website in Drupal,17
2975,The easiest way to replace white spaces with (underscores) _ in bash,10
2976,How do you guard for Null Reference exceptions in Linq To Xml?,18
2977,Excel Interop: Range.FormatConditions.Add throws MissingMethodException,5
2978,Magento - determine which xml layout file a page is using?,20
2979,Add a common namespace reference by default to all pages in a project,7
2980,"Apache C module creation, problem linking SQLite",4
2981,Grouping commited files together (as a single commit) after you've already committed them to the repository in Svn?,3
2982,How to get javascript to run after AJAX calls,15
2983,Backup and Recovery Scenario,2
2984,How to avoid calling a ajax method more than once?,15
2985,Ownnership of QState. Do I need to delete all QStates?,16
2986,Basic AJAX example with ASP.NET MVC?,15
2987,Haskell: any debugShow function?,19
2988,"drupal, rules, flag, date",17
2989,Is there an easy way to clone the structure of a table in Oracle?,2
2990,svn stumbling blocks,3
2991,Understanding Drupal core?,17
2992,how to do background computing in Spring 3.0?,11
2993,Magento config XML for adding a controller action to a core admin controller,20
2994,publishing a website  using svn export,3
2995,sem_init on OS X,9
2996,Cocoa control for setting shorcuts,8
2997,parsing a line in bash,10
2998,Apache comes back with nothing,4
2999,"Wordpress ""Read more"" is not working",1
3000,Using a formula from another column in Excel,5
3001,Drupal / Htaccess: Rewriting specific URL,17
3002,can abybody explain the structure of apache server.......,4
3003,"Merge sort from ""Programming Scala"" causes stack overflow",13
3004,How to filter out a set of strings A from a set of strings B using Bash,10
3005,How do you use git svn?,3
3006,"wordpress  plug-ins, themes and widgets  tips and tricks",1
3007,"AJAX, Server Push implementation questions",15
3008,How to move a single folder from one Subversion repository to another repository?,3
3009,Does the VS disassembly window show the whole EXE?,7
3010,different using @Transactional and spring template ?,11
3011,Compact matlab matrix indexing notation,6
3012,Drawbacks to using Lift (Scala-based framework) for webservices?,13
3013,Firefox : Open XLSX file not saving file butn opening binary.,5
3014,Drupal: Varnish and cookies,17
3015,Transactions in wordpress database,1
3016,Qt: Add UI Elements using Qt Script,16
3017,IE8 is breaking my AJAX... FF is fine.,15
3018,Common practice for higher-order-polymorphism in scala,13
3019,Best way in Oracle to go from this data to this result,2
3020,How can I make Visual Studio wrap lines at 80 characters?,7
3021,spring+hibernate mapping class without xml,11
3022,CSS Layout not working in IE7 (all other browsers are fine),17
3023,301 Redirect with query string and domain name in Apache,4
3024,DateTime Hex Format,14
3025,[VB.NET] Better Way of Getting the Text Value of Cells in an Excel (*.xls) File,5
3026,Criteria to HQL,12
3027,Is there a Visual Studio plugin for sorting build output (scrambled from multi-threaded builds)?,7
3028,Hibernate: Criteria vs. HQL,12
3029,How do I override NSError presentation when bindings is involved?,8
3030,What should a longtime Windows user know when starting to use Linux?,10
3031,How can I make a setup that makes my software require administrative priviliges while installation?,7
3032,How can I publish a subversion repository to a local IIS?,3
3033,javascript not being called,15
3034,Source Control in Visual Studio Isolated Shell,7
3035,How to fire code upon creation of a SharePoint list?,14
3036,link error when using boost library on MacOSX,9
3037,How to call a long-running external program from Excel / VBA,5
3038,QtEmbedded (for Kindle!): How are the device plugins supposed to get feedback from the app?,16
3039,Customize accessdenied.aspx in Sharepoint,14
3040,bash - redirecting of stdoutput and stderror does not catch all output,10
3041,Manually highlight Wordpress admin menu item.,1
3042,Excel formula to get ranking position,5
3043,Excel Interop Updating Formulas,5
3044,Obtaining a Hibernate transaction within a Spring class,11
3045,Updating built in Spring/Hibernate Archetype in Maven?,11
3046,Remove first 4 letters from a folder name using bash scripting,10
3047,What do I need to offset the performance setback induced by use of the Spring framework?,11
3048,How do I get the path of the current drupal theme?,17
3049,Recurring Profile and Bundled Item,20
3050,NSString to FSRef conversion doesn't work,8
3051,AJAX problems in WebKit browsers,15
3052,Storing Dates in Oracle via Hibernate,12
3053,Ids not available from proxy object,12
3054,Hidden features of Bash,10
3055,magento - multiple tax rates,20
3056,"How do I compress this Oracle resultset into values according to row priority, ignoring nulls?",2
3057,"When I call PreparedStatement.cancel() in a JDBC application, does it actually kill it in an Oracle database?",2
3058,Problems redirecting old domain to new with Apache and htaccess,4
3059,How can I debug my Qt application?,16
3060,Sharepoint as a high volume information system,14
3061,spring xml config,11
3062,Scala: can't write setter without getter?,13
3063,Code to record a screencast in MacOS,9
3064,How to display opening times?,18
3065,Can I automatically increment the file build version when using Visual Studio?,7
3066,Uploading Imaghes via the Magento SOAP api,20
3067,Is there a way to control which implicit conversion will be the default used?,13
3068,Criteria query with restriction across a joined subclass problem,12
3069,Hibernate (JPA) cascade - retrieve id from child,12
3070,Wrapping Current Category Text with Span in Wordpress,1
3071,Oracle EXECUTE IMMEDIATE with variable number of binds possible?,2
3072,"How to disable Visual Studio macro ""tip"" balloon?",7
3073,SceneGraph traversal in Haskell,19
3074,PHP/SQL/Wordpress: Group a user list by alphabet,1
3075,Search by category name,20
3076,What does `~` means on Haskell Code,19
3077,How can I point Visual Studio 2008 to a new path for projects?,7
3078,Can Visual Studio Automatically Expand Text with a Code Snippet?,7
3079,Netbeans scala plugin - no documentation,13
3080,Oracle utl_match special characters,2
3081,WSS 3.0 Multiple Domains,14
3082,Running spring program inside application server,11
3083,An efficient technique to replace an occurence in a sequence with mutable or immutable state,13
3084,Magento error: SQLSTATE[HY000]: General error: 1,20
3085,Pick Up curent user in bash on a mac,10
